epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6555.4,0.86315,0.45719,0.84558,0.91423,0.91624,0.95594,0.74133,0.78026,0.40203,0.83426,0.00643101,0.00643101,0.00643101
43,6709.71,0.86345,0.45544,0.84543,0.93343,0.90839,0.95896,0.74116,0.78028,0.40245,0.83424,0.00628101,0.00628101,0.00628101
44,6876.35,0.86044,0.45135,0.84411,0.92989,0.90946,0.95995,0.74045,0.77648,0.39749,0.83375,0.00612981,0.00612981,0.00612981
45,7051.82,0.85485,0.44908,0.84364,0.92268,0.9035,0.95963,0.7413,0.77736,0.39594,0.83411,0.00597754,0.00597754,0.00597754
46,7216.84,0.85394,0.44527,0.84312,0.94027,0.90255,0.95659,0.74143,0.7749,0.39242,0.83307,0.00582435,0.00582435,0.00582435
47,7380.38,0.84637,0.44118,0.84174,0.93065,0.91038,0.96059,0.74167,0.77318,0.39164,0.83302,0.0056704,0.0056704,0.0056704
48,7549.06,0.84854,0.44277,0.84355,0.9342,0.90654,0.96114,0.74459,0.76889,0.39529,0.83248,0.00551584,0.00551584,0.00551584
49,7719.65,0.84597,0.44191,0.84344,0.92671,0.91056,0.9606,0.74919,0.76774,0.3905,0.83152,0.00536081,0.00536081,0.00536081
50,7895.49,0.83961,0.43685,0.84041,0.93621,0.90755,0.95923,0.74589,0.76757,0.39049,0.83137,0.00520548,0.00520548,0.00520548
51,8071.61,0.8374,0.43662,0.84035,0.94598,0.90408,0.96186,0.74761,0.76784,0.38634,0.83124,0.00505,0.00505,0.00505
52,8247.94,0.83593,0.43237,0.83977,0.94194,0.90622,0.96267,0.75171,0.76369,0.38388,0.82993,0.00489452,0.00489452,0.00489452
53,8425.35,0.83144,0.43231,0.83738,0.92721,0.91171,0.95802,0.74844,0.76045,0.38456,0.82913,0.00473919,0.00473919,0.00473919
54,8601.33,0.83521,0.42927,0.83929,0.92897,0.90942,0.96145,0.75304,0.75936,0.38233,0.82947,0.00458416,0.00458416,0.00458416
55,8788.22,0.82722,0.42914,0.83688,0.93099,0.91421,0.9625,0.75322,0.75652,0.38134,0.82843,0.0044296,0.0044296,0.0044296
56,8972.48,0.82125,0.42362,0.83591,0.9365,0.91246,0.96184,0.75282,0.75541,0.37862,0.82817,0.00427565,0.00427565,0.00427565
57,9160.08,0.82647,0.42517,0.83597,0.93407,0.92049,0.96401,0.75125,0.75707,0.38009,0.82932,0.00412246,0.00412246,0.00412246
58,9352.48,0.81869,0.42068,0.83432,0.9337,0.91345,0.96281,0.75499,0.75404,0.37685,0.82826,0.00397019,0.00397019,0.00397019
59,9544.83,0.81907,0.4201,0.83487,0.93393,0.91615,0.96168,0.75364,0.75387,0.37535,0.82841,0.00381899,0.00381899,0.00381899
60,9733.64,0.8137,0.41411,0.83512,0.92881,0.92377,0.96296,0.7554,0.75374,0.37595,0.82781,0.00366899,0.00366899,0.00366899
61,9918.56,0.81124,0.41459,0.83439,0.94509,0.90918,0.9635,0.75533,0.75351,0.37348,0.82763,0.00352037,0.00352037,0.00352037
62,10102.9,0.81089,0.41153,0.83447,0.92167,0.92395,0.96172,0.75414,0.7545,0.37244,0.82804,0.00337325,0.00337325,0.00337325
63,10299.1,0.8066,0.41069,0.83337,0.93029,0.91678,0.9616,0.75567,0.75284,0.37165,0.82784,0.00322778,0.00322778,0.00322778
64,10487.4,0.80234,0.4051,0.83223,0.93882,0.91489,0.96135,0.75537,0.75175,0.37069,0.82765,0.00308412,0.00308412,0.00308412
65,10678.1,0.80069,0.4023,0.83115,0.94283,0.91088,0.96464,0.75847,0.75095,0.36866,0.8273,0.00294239,0.00294239,0.00294239
66,10861.9,0.79706,0.40244,0.83146,0.93467,0.92401,0.96562,0.75833,0.74815,0.3695,0.82689,0.00280275,0.00280275,0.00280275
67,11048,0.7965,0.39898,0.83187,0.93598,0.92704,0.96441,0.75873,0.74709,0.36878,0.82652,0.00266532,0.00266532,0.00266532
68,11236.7,0.79654,0.39746,0.83042,0.94502,0.91547,0.96547,0.76045,0.7457,0.36705,0.82618,0.00253024,0.00253024,0.00253024
69,11424.4,0.78971,0.39631,0.83,0.94032,0.91633,0.96374,0.76,0.74583,0.36598,0.82583,0.00239766,0.00239766,0.00239766
70,11619.3,0.78801,0.39452,0.82856,0.94124,0.91768,0.96622,0.76216,0.7463,0.3664,0.82571,0.00226769,0.00226769,0.00226769
71,11801.4,0.78915,0.39569,0.82738,0.94605,0.91396,0.9678,0.76539,0.74542,0.36581,0.82551,0.00214046,0.00214046,0.00214046
72,11977.1,0.7812,0.39081,0.8291,0.95003,0.91188,0.96649,0.7644,0.74494,0.36401,0.82534,0.00201611,0.00201611,0.00201611
73,12150.3,0.78423,0.38927,0.82925,0.94007,0.92199,0.96648,0.76549,0.74401,0.36293,0.82516,0.00189475,0.00189475,0.00189475
74,12326.1,0.77743,0.38529,0.82696,0.93394,0.92138,0.96516,0.76435,0.74311,0.36221,0.82493,0.00177651,0.00177651,0.00177651
75,12501,0.77332,0.3825,0.82742,0.93695,0.91918,0.96531,0.76335,0.74264,0.362,0.82479,0.00166149,0.00166149,0.00166149
76,12672.4,0.7774,0.38481,0.82723,0.93555,0.92162,0.96436,0.76365,0.74243,0.36188,0.82468,0.00154982,0.00154982,0.00154982
77,12842.5,0.77555,0.38533,0.82741,0.93607,0.9247,0.96626,0.76374,0.74219,0.36143,0.82479,0.00144161,0.00144161,0.00144161
78,13012,0.76855,0.38187,0.82552,0.93473,0.92383,0.96622,0.76426,0.74228,0.36126,0.82492,0.00133695,0.00133695,0.00133695
79,13182.6,0.76781,0.37833,0.82473,0.93669,0.92151,0.96493,0.76383,0.74248,0.36125,0.82474,0.00123596,0.00123596,0.00123596
80,13350.7,0.76582,0.37726,0.82558,0.94223,0.92065,0.96635,0.76487,0.74196,0.36101,0.82425,0.00113873,0.00113873,0.00113873
81,13521.1,0.7654,0.37449,0.82524,0.93767,0.92269,0.96649,0.76669,0.74135,0.36091,0.82403,0.00104537,0.00104537,0.00104537
82,13690.5,0.76455,0.37601,0.82535,0.94052,0.91871,0.96727,0.76748,0.74123,0.36089,0.82389,0.000955951,0.000955951,0.000955951
83,13861.5,0.76237,0.37242,0.82483,0.93018,0.92718,0.96744,0.76688,0.7413,0.36064,0.82393,0.000870577,0.000870577,0.000870577
84,14029.8,0.75822,0.36991,0.82287,0.93047,0.92797,0.96814,0.76761,0.74102,0.35997,0.8238,0.000789327,0.000789327,0.000789327
85,14211.1,0.75642,0.36787,0.82278,0.92651,0.93333,0.96826,0.76632,0.741,0.35963,0.82381,0.000712282,0.000712282,0.000712282
86,14397.4,0.75457,0.36665,0.82359,0.92695,0.93191,0.96818,0.76663,0.74087,0.35967,0.82383,0.000639518,0.000639518,0.000639518
87,14589.6,0.75338,0.36801,0.82399,0.92598,0.93321,0.96826,0.76594,0.74061,0.35977,0.82378,0.000571106,0.000571106,0.000571106
88,14781.4,0.7508,0.36611,0.82308,0.94337,0.9137,0.96792,0.76601,0.74027,0.35951,0.82365,0.000507115,0.000507115,0.000507115
89,14972.5,0.74879,0.36302,0.82154,0.94162,0.91477,0.96808,0.76672,0.7401,0.35933,0.82365,0.000447606,0.000447606,0.000447606
90,15163.4,0.74987,0.36348,0.82157,0.94243,0.91728,0.96806,0.7673,0.73972,0.35889,0.82361,0.00039264,0.00039264,0.00039264
91,15365.2,0.74816,0.36165,0.82118,0.94229,0.91425,0.96812,0.76734,0.73956,0.35874,0.82357,0.00034227,0.00034227,0.00034227
92,15563.2,0.7459,0.36055,0.82263,0.9411,0.91815,0.96824,0.7676,0.73923,0.35872,0.82349,0.000296546,0.000296546,0.000296546
93,15759.1,0.74513,0.35832,0.82287,0.93903,0.91962,0.96827,0.76812,0.73934,0.35887,0.82345,0.000255513,0.000255513,0.000255513
94,15954.9,0.74604,0.35851,0.82198,0.9384,0.92197,0.96838,0.76792,0.73937,0.3589,0.82344,0.000219212,0.000219212,0.000219212
95,16175.4,0.74463,0.3592,0.82154,0.93845,0.92208,0.9684,0.76827,0.73931,0.35883,0.82336,0.000187678,0.000187678,0.000187678
96,16411.7,0.74295,0.35769,0.8209,0.93905,0.92139,0.96846,0.76818,0.73939,0.3589,0.82334,0.000160943,0.000160943,0.000160943
97,16650.3,0.74822,0.35875,0.82129,0.93912,0.92132,0.96849,0.76815,0.73945,0.35906,0.82328,0.000139032,0.000139032,0.000139032
98,16890.6,0.74165,0.35638,0.81891,0.94013,0.92152,0.96886,0.76806,0.73941,0.35896,0.82324,0.000121968,0.000121968,0.000121968
99,17131.5,0.74271,0.35592,0.81987,0.93999,0.92478,0.96891,0.76832,0.73927,0.3591,0.82323,0.000109768,0.000109768,0.000109768
100,17373.2,0.74164,0.357,0.82015,0.9403,0.92467,0.96894,0.76853,0.73947,0.35914,0.82319,0.000102443,0.000102443,0.000102443
